id,codigo,sku,nombre,categoria,marca,precio,archivo,estado,fuente_url,busqueda
1,P0001,12896,CEREAL KELLOGGS ZUCARITAS 600G,Abarrotes para el Desayuno,Kelloggs,96.3,imagenes_reales\001_cereal_kelloggs_zucaritas_600g.png,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/190010/Cereal-Kellogg’s-Zucaritas-600g-7501008057292.png?v=639083262637230000,"Kelloggs Nestlé ""CEREAL KELLOGGS ZUCARITAS 600G"" producto supermercado México"
2,P0002,11314,Polvo Choco Kiwi Pronto 350 Gr - Choco Kiwi,Abarrotes para el Desayuno,CHOCO KIWI,38.7,imagenes_reales\002_polvo_choco_kiwi_pronto_350_gr_choco_kiwi.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/185825/07501200485022.1.jpg?v=637125562721570000,"marca mexicana producto ""Polvo Choco Kiwi Pronto 350 Gr - Choco Kiwi"" producto supermercado México"
3,P0003,9703,Velita Profina Para Posada 20P - Profina,Fiesta y Desechables,Profina,9.4,imagenes_reales\003_velita_profina_para_posada_20p_profina.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/185709/07501102239990.1.jpg?v=637125541658800000,"marca mexicana producto ""Velita Profina Para Posada 20P - Profina"" producto supermercado México"
4,P0004,8209,Foco Osram Minibellalux 40W Blanco Pieza - Osram,Ferreteria,Osram,16.0,imagenes_reales\004_foco_osram_minibellalux_40w_blanco_pieza_osram.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/173509/04050300106977.1.jpg?v=636862264610400000,"marca mexicana producto ""Foco Osram Minibellalux 40W Blanco Pieza - Osram"" producto supermercado México"
5,P0005,9098,Bolsas Bol Rol Chica Bio 15X22 50 Pzas - Bol Rol,Limpieza y Cuidado en el Hogar,Bol Rol,22.0,imagenes_reales\005_bolsas_bol_rol_chica_bio_15x22_50_pzas_bol_rol.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/185012/07501019911118.1.jpg?v=637124867699100000,"Glad Great Value ""Bolsas Bol Rol Chica Bio 15X22 50 Pzas - Bol Rol"" producto supermercado México"
6,P0006,9097,Cesto Cubasa Papelero Rect #25 1Pza - Cubasa,Limpieza y Cuidado en el Hogar,Cubasa,122.3,imagenes_reales\006_cesto_cubasa_papelero_rect_25_1pza_cubasa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177353/07501166514620.1.jpg?v=637062397851130000,"marca mexicana producto ""Cesto Cubasa Papelero Rect #25 1Pza - Cubasa"" producto supermercado México"
7,P0007,6147,Fibra Scotch Brite Esponja 64X100 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,17.7,imagenes_reales\007_fibra_scotch_brite_esponja_64x100_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169480/07501023100089.1.jpg?v=636862247857970000,"marca mexicana producto ""Fibra Scotch Brite Esponja 64X100 - Scotch Brite"" producto supermercado México"
8,P0008,6141,Fibra Scotch Brite Verde 120X150 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,721.5,imagenes_reales\008_fibra_scotch_brite_verde_120x150_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169452/07501023100027.1.jpg?v=636862247759730000,"marca mexicana producto ""Fibra Scotch Brite Verde 120X150 - Scotch Brite"" producto supermercado México"
9,P0009,6143,Fibra Scotch Brite Verde 92X150 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,313.1,imagenes_reales\009_fibra_scotch_brite_verde_92x150_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169462/07501023100065.1.jpg?v=636862247794330000,"marca mexicana producto ""Fibra Scotch Brite Verde 92X150 - Scotch Brite"" producto supermercado México"
10,P0010,6297,Secador Jacamsa 50X50 Pieza - Jacamsa,Limpieza y Cuidado en el Hogar,Jacamsa,244.7,imagenes_reales\010_secador_jacamsa_50x50_pieza_jacamsa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169961/07501858421168.1.jpg?v=636862250129770000,"marca mexicana producto ""Secador Jacamsa 50X50 Pieza - Jacamsa"" producto supermercado México"
